Country Name,Country Code,Series Name,Series Code,2011 [YR2011],2014 [YR2014],2017 [YR2017],2021 [YR2021],2024 [YR2024]
Kenya,KEN,Households and NPISHs Final consumption expenditure per capita (constant 2015 US$),NE.CON.PRVT.PC.KD,1013.50859103628,1086.83042700747,1180.03193431134,1254.51617997326,1347.0515546894
Uganda,UGA,Households and NPISHs Final consumption expenditure per capita (constant 2015 US$),NE.CON.PRVT.PC.KD,605.866713369235,615.660452046182,626.669041837749,691.824196740657,690.989069517786
Tanzania,TZA,Households and NPISHs Final consumption expenditure per capita (constant 2015 US$),NE.CON.PRVT.PC.KD,596.599853515625,583.016662597656,590.800842285156,592.319580078125,598.571533203125
Rwanda,RWA,Households and NPISHs Final consumption expenditure per capita (constant 2015 US$),NE.CON.PRVT.PC.KD,492.37248526717,541.306932050528,583.104678233488,639.672021844546,768.782529861405
Ghana,GHA,Households and NPISHs Final consumption expenditure per capita (constant 2015 US$),NE.CON.PRVT.PC.KD,1125.26741203566,1267.16250608677,1265.20549638492,1505.49467543151,1730.44071907195
,,,,,,,,
,,,,,,,,
,,,,,,,,
Data from database: World Development Indicators,,,,,,,,
Last Updated: 12/04/2025,,,,,,,,
